Date,Pandemics
Jan-1986,NA
Feb-1986,NA
Mar-1986,NA
Apr-1986,NA
May-1986,NA
Jun-1986,NA
Jul-1986,NA
Aug-1986,NA
Sep-1986,NA
Oct-1986,NA
Nov-1986,NA
Dec-1986,NA
Jan-1987,NA
Feb-1987,NA
Mar-1987,NA
Apr-1987,NA
May-1987,NA
Jun-1987,NA
Jul-1987,NA
Aug-1987,NA
Sep-1987,NA
Oct-1987,NA
Nov-1987,NA
Dec-1987,NA
Jan-1988,NA
Feb-1988,NA
Mar-1988,NA
Apr-1988,NA
May-1988,NA
Jun-1988,NA
Jul-1988,NA
Aug-1988,NA
Sep-1988,NA
Oct-1988,NA
Nov-1988,NA
Dec-1988,NA
Jan-1989,NA
Feb-1989,NA
Mar-1989,NA
Apr-1989,NA
May-1989,NA
Jun-1989,NA
Jul-1989,NA
Aug-1989,NA
Sep-1989,NA
Oct-1989,NA
Nov-1989,NA
Dec-1989,NA
Jan-1990,NA
Feb-1990,NA
Mar-1990,NA
Apr-1990,NA
May-1990,NA
Jun-1990,NA
Jul-1990,NA
Aug-1990,NA
Sep-1990,NA
Oct-1990,NA
Nov-1990,NA
Dec-1990,NA
Jan-1991,NA
Feb-1991,NA
Mar-1991,NA
Apr-1991,NA
May-1991,NA
Jun-1991,NA
Jul-1991,NA
Aug-1991,NA
Sep-1991,NA
Oct-1991,NA
Nov-1991,NA
Dec-1991,NA
Jan-1992,NA
Feb-1992,NA
Mar-1992,NA
Apr-1992,NA
May-1992,NA
Jun-1992,NA
Jul-1992,NA
Aug-1992,NA
Sep-1992,NA
Oct-1992,NA
Nov-1992,NA
Dec-1992,NA
Jan-1993,NA
Feb-1993,NA
Mar-1993,NA
Apr-1993,NA
May-1993,NA
Jun-1993,NA
Jul-1993,NA
Aug-1993,NA
Sep-1993,NA
Oct-1993,NA
Nov-1993,NA
Dec-1993,NA
Jan-1994,NA
Feb-1994,NA
Mar-1994,NA
Apr-1994,NA
May-1994,NA
Jun-1994,NA
Jul-1994,NA
Aug-1994,NA
Sep-1994,NA
Oct-1994,NA
Nov-1994,NA
Dec-1994,NA
Jan-1995,NA
Feb-1995,NA
Mar-1995,NA
Apr-1995,NA
May-1995,NA
Jun-1995,NA
Jul-1995,NA
Aug-1995,NA
Sep-1995,NA
Oct-1995,NA
Nov-1995,NA
Dec-1995,NA
Jan-1996,NA
Feb-1996,NA
Mar-1996,NA
Apr-1996,NA
May-1996,NA
Jun-1996,NA
Jul-1996,NA
Aug-1996,NA
Sep-1996,NA
Oct-1996,NA
Nov-1996,NA
Dec-1996,NA
Jan-1997,NA
Feb-1997,NA
Mar-1997,NA
Apr-1997,NA
May-1997,NA
Jun-1997,NA
Jul-1997,NA
Aug-1997,NA
Sep-1997,NA
Oct-1997,NA
Nov-1997,NA
Dec-1997,NA
Jan-1998,NA
Feb-1998,NA
Mar-1998,NA
Apr-1998,NA
May-1998,NA
Jun-1998,NA
Jul-1998,NA
Aug-1998,NA
Sep-1998,NA
Oct-1998,NA
Nov-1998,NA
Dec-1998,NA
Jan-1999,NA
Feb-1999,NA
Mar-1999,NA
Apr-1999,NA
May-1999,NA
Jun-1999,NA
Jul-1999,NA
Aug-1999,NA
Sep-1999,NA
Oct-1999,NA
Nov-1999,NA
Dec-1999,NA
Jan-2000,NA
Feb-2000,NA
Mar-2000,NA
Apr-2000,NA
May-2000,NA
Jun-2000,NA
Jul-2000,NA
Aug-2000,NA
Sep-2000,NA
Oct-2000,NA
Nov-2000,NA
Dec-2000,NA
Jan-2001,NA
Feb-2001,NA
Mar-2001,NA
Apr-2001,NA
May-2001,NA
Jun-2001,NA
Jul-2001,NA
Aug-2001,NA
Sep-2001,NA
Oct-2001,NA
Nov-2001,NA
Dec-2001,NA
Jan-2002,NA
Feb-2002,NA
Mar-2002,NA
Apr-2002,NA
May-2002,NA
Jun-2002,NA
Jul-2002,NA
Aug-2002,NA
Sep-2002,NA
Oct-2002,NA
Nov-2002,SARS
Dec-2002,SARS
Jan-2003,SARS
Feb-2003,SARS
Mar-2003,NA
Apr-2003,NA
May-2003,NA
Jun-2003,NA
Jul-2003,NA
Aug-2003,NA
Sep-2003,NA
Oct-2003,NA
Nov-2003,NA
Dec-2003,NA
Jan-2004,NA
Feb-2004,Gripe aviaria
Mar-2004,Gripe aviaria
Apr-2004,Gripe aviaria
May-2004,Gripe aviaria
Jun-2004,Gripe aviaria
Jul-2004,Gripe aviaria
Aug-2004,Gripe aviaria
Sep-2004,Gripe aviaria
Oct-2004,Gripe aviaria
Nov-2004,Gripe aviaria
Dec-2004,Gripe aviaria
Jan-2005,Gripe aviaria
Feb-2005,Gripe aviaria
Mar-2005,Gripe aviaria
Apr-2005,Gripe aviaria
May-2005,Gripe aviaria
Jun-2005,Gripe aviaria
Jul-2005,Gripe aviaria
Aug-2005,Gripe aviaria
Sep-2005,Gripe aviaria
Oct-2005,Gripe aviaria
Nov-2005,NA
Dec-2005,NA
Jan-2006,NA
Feb-2006,NA
Mar-2006,NA
Apr-2006,NA
May-2006,NA
Jun-2006,NA
Jul-2006,NA
Aug-2006,NA
Sep-2006,NA
Oct-2006,NA
Nov-2006,NA
Dec-2006,NA
Jan-2007,NA
Feb-2007,NA
Mar-2007,NA
Apr-2007,NA
May-2007,NA
Jun-2007,NA
Jul-2007,NA
Aug-2007,NA
Sep-2007,NA
Oct-2007,NA
Nov-2007,NA
Dec-2007,NA
Jan-2008,NA
Feb-2008,NA
Mar-2008,NA
Apr-2008,NA
May-2008,NA
Jun-2008,NA
Jul-2008,NA
Aug-2008,NA
Sep-2008,NA
Oct-2008,NA
Nov-2008,NA
Dec-2008,NA
Jan-2009,H1N1
Feb-2009,H1N1
Mar-2009,H1N1
Apr-2009,H1N1
May-2009,H1N1
Jun-2009,H1N1
Jul-2009,H1N1
Aug-2009,H1N1
Sep-2009,H1N1
Oct-2009,H1N1
Nov-2009,H1N1
Dec-2009,H1N1
Jan-2010,H1N1
Feb-2010,H1N1
Mar-2010,H1N1
Apr-2010,H1N1
May-2010,H1N1
Jun-2010,H1N1
Jul-2010,H1N1
Aug-2010,H1N1
Sep-2010,NA
Oct-2010,NA
Nov-2010,NA
Dec-2010,NA
Jan-2011,NA
Feb-2011,NA
Mar-2011,NA
Apr-2011,NA
May-2011,NA
Jun-2011,NA
Jul-2011,NA
Aug-2011,NA
Sep-2011,NA
Oct-2011,NA
Nov-2011,NA
Dec-2011,NA
Jan-2012,NA
Feb-2012,NA
Mar-2012,NA
Apr-2012,NA
May-2012,NA
Jun-2012,NA
Jul-2012,NA
Aug-2012,NA
Sep-2012,NA
Oct-2012,NA
Nov-2012,NA
Dec-2012,NA
Jan-2013,NA
Feb-2013,NA
Mar-2013,NA
Apr-2013,NA
May-2013,NA
Jun-2013,NA
Jul-2013,NA
Aug-2013,NA
Sep-2013,NA
Oct-2013,NA
Nov-2013,NA
Dec-2013,EBOLA
Jan-2014,EBOLA
Feb-2014,EBOLA
Mar-2014,EBOLA
Apr-2014,EBOLA
May-2014,EBOLA
Jun-2014,EBOLA
Jul-2014,EBOLA
Aug-2014,EBOLA
Sep-2014,EBOLA
Oct-2014,EBOLA
Nov-2014,EBOLA
Dec-2014,EBOLA
Jan-2015,EBOLA
Feb-2015,EBOLA
Mar-2015,EBOLA
Apr-2015,EBOLA
May-2015,EBOLA
Jun-2015,EBOLA
Jul-2015,EBOLA
Aug-2015,EBOLA
Sep-2015,EBOLA
Oct-2015,EBOLA
Nov-2015,EBOLA
Dec-2015,EBOLA
Jan-2016,EBOLA
Feb-2016,EBOLA
Mar-2016,EBOLA
Apr-2016,NA
May-2016,NA
Jun-2016,NA
Jul-2016,NA
Aug-2016,NA
Sep-2016,NA
Oct-2016,NA
Nov-2016,NA
Dec-2016,NA
Jan-2017,NA
Feb-2017,NA
Mar-2017,NA
Apr-2017,NA
May-2017,NA
Jun-2017,NA
Jul-2017,NA
Aug-2017,NA
Sep-2017,NA
Oct-2017,NA
Nov-2017,NA
Dec-2017,NA
Jan-2018,NA
Feb-2018,NA
Mar-2018,NA
Apr-2018,NA
May-2018,NA
Jun-2018,NA
Jul-2018,NA
Aug-2018,NA
Sep-2018,NA
Oct-2018,NA
Nov-2018,NA
Dec-2018,NA
Jan-2019,NA
Feb-2019,NA
Mar-2019,NA
Apr-2019,NA
May-2019,NA
Jun-2019,NA
Jul-2019,NA
Aug-2019,NA
Sep-2019,NA
Oct-2019,NA
Nov-2019,NA
Dec-2019,COVID19
Jan-2020,COVID19
Feb-2020,COVID19
Mar-2020,COVID19
